,AN,AP,AR,AS,BH,CH,CG,DN,DD,GA,GJ,HR,HP,JK,JH,KN,KL,LD,MP,MH,MN,ML,MZ,NL,DL,OD,PY,PB,RJ,SK,TN,TR,UP,UK,WB,,,,
AN,131118,3049,2,93,38,125,312,6,36,323,332,199,47,51,265,1106,2303,39,182,2043,33,3,2,15,677,246,146,253,195,84,6235,7,423,110,1720,,,,
AP,15681,36625573,383,4732,1760,1528,42362,748,386,5652,46784,10386,1933,2085,8661,890697,19228,47,17375,437034,71,384,92,407,23436,122491,32330,7789,12193,423,286427,167,16060,3565,16707,,,,
AR,18,239,483725,19486,395,99,166,10,5,22,233,387,1052,105,185,2300,738,4,305,790,114,1024,195,900,1404,581,19,405,369,515,481,337,931,1232,2322,,,,
AS,459,7155,88963,10035507,15221,2166,3888,1484,1622,1502,13030,14088,2134,1906,4940,23651,8469,5,4901,30614,7720,61022,15056,51397,26233,4732,283,11925,12936,2621,7860,29423,30157,5731,166400,,,,
BH,1779,48120,18811,147742,25728400,50703,143216,20848,28202,8334,361010,390937,37600,13200,1336048,86083,9904,12,125836,568667,2983,14112,1404,17539,1106629,119231,680,352537,134402,13282,29277,12063,1072739,76116,1103757,,,,
CH,53,1110,11,258,404,30733,310,29,37,100,1603,71890,11136,611,244,2124,423,1,695,3576,11,49,8,42,8328,291,30,149591,1961,36,922,14,6028,2850,869,,,,
CG,2600,28383,138,1162,2655,1123,7554503,343,336,916,12397,11813,5008,9949,42750,7582,2563,2,167340,168379,10,62,16,138,12634,129371,28,8403,7266,53,2174,52,56676,3239,8071,,,,
DN,1,16,1,20,654,7,14,46921,159,27,10779,20,8,17,16,110,27,119,60,3066,1,16,0,11,91,75,0,17,127,4,318,10,375,66,403,,,,
DD,11,51,0,3,23,10,32,1080,21927,287,14501,32,31,6,5,57,38,87,287,2067,0,0,0,0,38,11,5,6,72,27,38,0,34,45,22,,,,
GA,212,2209,22,52,213,94,177,117,127,853232,1951,571,111,116,274,22190,2557,6,730,68358,14,19,7,21,1193,400,91,435,555,29,1689,7,929,236,484,,,,
GJ,254,23299,94,1271,4149,2082,13704,30177,23072,3720,22761198,11250,1578,1237,5268,38953,10443,56,88702,983653,40,216,13,103,24153,24420,2102,10436,200767,110,21024,150,25459,5344,14563,,,,
HR,278,6220,527,3225,3902,93037,12807,304,159,953,32206,6797636,35750,5987,3729,12511,2228,5,19224,48673,110,494,83,442,666331,5206,130,545584,533963,661,5172,116,230740,33899,11259,,,,
HP,55,1757,305,1827,8883,60254,2567,104,96,403,3761,60586,2184176,8609,1345,6763,743,0,5894,15721,136,294,34,309,79272,1042,36,214213,11325,431,898,88,21072,24089,2911,,,,
JK,100,6583,369,3831,15594,5997,8321,45,57,761,4883,17700,15565,2618467,1677,9326,4293,6,12100,25774,218,601,113,375,40146,8277,163,70299,19100,974,7221,328,33008,9268,5846,,,,
JH,7612,13024,1308,11139,433696,3023,111325,2205,3386,3583,49576,20853,10645,2210,7430091,21064,3109,1,30272,100285,93,544,1149,1283,69196,167377,123,19950,13183,1267,7581,14203,110358,10768,459436,,,,
KN,493,466951,191,991,1923,1514,2752,1000,569,116865,30437,8084,1538,1313,2159,23103518,110833,137,7048,1399591,182,450,90,540,15386,4829,2978,4470,11697,191,289302,131,10455,2330,5536,,,,
KL,4829,40113,1397,1437,1432,1016,10747,1400,792,8218,44356,8302,775,1485,3905,334181,17053517,4379,22566,214889,118,810,269,1165,60297,4763,21345,5910,16128,227,447701,156,17106,1962,7149,,,,
